,precision,recall,f1-score,support
A,1.0,1.0,1.0,331.0
B,1.0,1.0,1.0,432.0
C,1.0,1.0,1.0,310.0
D,1.0,1.0,1.0,245.0
E,0.996,1.0,0.9979959919839679,498.0
F,1.0,1.0,1.0,247.0
G,1.0,0.9712643678160919,0.9854227405247813,348.0
H,0.9775784753363229,1.0,0.9886621315192744,436.0
I,0.9536423841059603,1.0,0.976271186440678,288.0
K,1.0,1.0,1.0,331.0
L,1.0,1.0,1.0,209.0
M,1.0,1.0,1.0,394.0
N,1.0,1.0,1.0,291.0
O,1.0,1.0,1.0,246.0
P,1.0,1.0,1.0,347.0
Q,1.0,1.0,1.0,164.0
R,1.0,1.0,1.0,144.0
S,1.0,0.991869918699187,0.9959183673469387,246.0
T,1.0,0.9274193548387096,0.9623430962343096,248.0
U,1.0,1.0,1.0,266.0
V,1.0,1.0,1.0,346.0
W,1.0,1.0,1.0,206.0
X,0.9368421052631579,1.0,0.967391304347826,267.0
Y,1.0,0.9578313253012049,0.9784615384615385,332.0
accuracy,0.9938650306748467,0.9938650306748467,0.9938650306748467,0.9938650306748467
macro avg,0.9943359568627267,0.9936827069439665,0.9938527648691382,7172.0
weighted avg,0.994146411597102,0.9938650306748467,0.9938582855565414,7172.0
